ID,Ingredient,Unit of Measure,Cost,Green Cost,CAL,Fat (g),Na (mg),carb (g),Fiber (g),Protein(g),VA,VC,Ca,Fe
22,onion,each,1.47,,41.8,0.2,3.3,9.5,2,1.3,0,0.117,0.022,0.013
23,butter,cup,1.48,1.9904,1630.6,183.8,1307.6,0,0,1.6,1.135,0,0.048,0
24,milk,cup,0.1872,0.3112,137,4.9,145,13.4,0,9.7,0.092,0.008,0.285,0.4
25,cheddar cheese,cup,2.975,,454.4,37.5,701.5,1.6,0,28.3,0.239,0,0.813,0.044
26,cream cheese,cup,1.48,1.99,793.8,80.2,686.6,9.4,0,17.2,0.663,0,0.188,0.155
27,sugar,cup,0.3352,0.8728,761.9,0,0,200,0,0,0,0,0,0
28,egg,each,0.13,0.53,72,4.8,71,0.4,0,6.3,0.06,0,0.02,0.04
29,pumpkin puree,cup,0.98,,83,0.7,12.3,19.8,7.1,2.7,7.266,0.172,0.064,0.189
30,green beans(can),can(14.5oz),0.98,,70,0,1080,12,6,3,0.18,0.12,0.06,0
31,parmesan cheese,cup,4.64,,4560,30,1862,3.7,0,41.6,0.14,0,1.376,0.053
32,pineapple juice,cup,0.3816,0.7472,140,0.2,2.5,34.5,0.5,0.8,0.3,0.446,0.043,0.036
33,flour,cup,0.348,0.6648,450,1.2,2.5,95.4,3.4,12.9,0,0,0.019,0.322
34,baking powder,tsp,0.1152,,2.4,0,487.6,1.3,0,0,0,0,0.27,0.028
35,pineapple,each,2.68,,494.2,4.6,10.4,124.9,12.4,3.9,0.046,2.588,0.072,0.21
36,balsamic vinegar,tbsp,0.06735,0.1612,10,0,5,2,0,0,0,0,0,0
37,ginger root,tsp,0.0288,,1.6,0,0.3,0.4,0,0,0,0.002,0,0.001
38,sweet potato,each,0.81,,136.5,0.4,16.9,31.6,3.9,2.1,5.216,0.492,0.029,0.043
39,heavy cream,tbsp,0.0619,,19.5,1.7,6.2,0.6,0,0.4,0.011,0.002,0.016,0.001
40,pecans,cup,4.9944,,22.3,85.6,0,16.5,11.4,10.9,0.013,0.022,0.083,0.167
41,green beans(whole),lb,1.58,5.3072,124.4,0,12.4,24.9,12.4,4.2,0.415,0.249,0.166,0.166
42,garlic salt,tsp,0.0434588,,0,0,1960,0,0,0,0,0,0,0
43,cherry tomato,cup,2.24,2.384,48,0,0,10.7,3.2,2.4,0.48,0.64,0,0
44,tofu,oz,0.1113,0.2067,20,1,3,0,0,2,0,0,0.06,0.03
45,zucchini,each,1.02,2.47,52,1,32,11,4,4,0.13,0.92,0.05,0.06
46,red bell pepper,each,0.97,2.98,51,0,0,10,3,2,1.03,3.49,0.01,0.04
47,sriracha,oz,0.1641,,0,0,560,6,0,0,0,0,0,0
48,sesame oil,tbsp,0.0278,,119,14,0,0,0,0,0,0,0,0
49,jalapeno pepper,each,0.07,,4,0,0,0,0,0,0.02,0.1,0,0.01
50,eggplant,each,1.63,3.98,143,1,16,33,14,6,0.09,0.16,0.04,0.08
51,peach(sliced),cup,0.74,1.245,60,0,0,15,2,1,0.1,0.17,0.01,0.02
52,blackberry,cup,3.333333333,,62,1,1,15,8,2,0.06,0.5,0.04,0.05
53,Brussels sprouts,oz,0.2175,,12,0,7,3,1,1,0.04,0.4,0.01,0.02
54,broccoli(head),each,1.3,,207,2,201,40,16,17,0.76,9.04,0.29,0.25
55,9in pie crust,each,0.71,,649,41,818,63,1,6,0,0,0.03,0.03
56,strawberry,pint,1.335,2.235,114,1,4,27,7,2,0.01,3.5,0.06,0.08
57,blueberry,cup,1.24,,84,0,1,21,4,1,0.02,0.24,0.01,0.02
58,parsley,cup,0.25,1.245,22,0,34,4,2,2,1.01,1.33,8,21
59,penne pasta,cup,0.6448,0.7504,200,2.1,0,88.5,4.21,14.75,0,0,0,21.1
60,mozzarella cheese,cup,4.225,,336,25,702,2,0,25,15,0,57,3
61,lean ground beef,lb,4.68,,564,5,61,0,0,22,0,0,1,14
62,carrot,each,0.156,0.158,25,0,42,6,2,1,204,6,2,1
63,couscous,cup,1.72,,176,0,8,36,2,6,0,0,1,3
